"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 09 18:49:50 UTC 2025","Tue Dec 09 18:49:50 UTC 2025","48","Regression Testing","Regression Testing","com.gecom.StatsAnalyticsTest.StatsAnalytics","com.gecom.StatsAnalyticsTest.StatsAnalytics","testGetSalesReportFailsForNonAdminUser","TC-STATS-006: Verify get sales report fails for non-admin user",""
"passed","Tue Dec 09 18:49:39 UTC 2025","Tue Dec 09 18:49:39 UTC 2025","69","Regression Testing","Regression Testing","com.gecom.UsersTest.GetUsers","com.gecom.UsersTest.GetUsers","testGetUserByIdFailsForNonExistent","TC-USER-005: Verify get user by ID fails for non-existent user",""
"passed","Tue Dec 09 18:49:41 UTC 2025","Tue Dec 09 18:49:41 UTC 2025","60","Regression Testing","Regression Testing","com.gecom.ProductsTest.GetProducts","com.gecom.ProductsTest.GetProducts","testFilterProductsByPriceRange","TC-PROD-004: Verify filter products by PRICE range",""
"passed","Tue Dec 09 18:49:39 UTC 2025","Tue Dec 09 18:49:39 UTC 2025","76","Regression Testing","Regression Testing","com.gecom.UsersTest.GetUsers","com.gecom.UsersTest.GetUsers","testNonAdminCannotListUsers","TC-USER-002: Verify non-admin cannot list users",""
"passed","Tue Dec 09 18:49:43 UTC 2025","Tue Dec 09 18:49:43 UTC 2025","57","Regression Testing","Regression Testing","com.gecom.ProductsTest.LikeProducts","com.gecom.ProductsTest.LikeProducts","testUnlikeFailsForNonExistentLike","TC-PROD-032: Verify unlike fails for non-existent like",""
"passed","Tue Dec 09 18:49:40 UTC 2025","Tue Dec 09 18:49:40 UTC 2025","62","Regression Testing","Regression Testing","com.gecom.UsersTest.DeleteUsers","com.gecom.UsersTest.DeleteUsers","testDeleteUserFailsForNonExistent","TC-USER-011: Verify delete user fails for non-existent user",""
"passed","Tue Dec 09 18:49:51 UTC 2025","Tue Dec 09 18:49:51 UTC 2025","67","Regression Testing","Regression Testing","com.gecom.ContactTest.CreateContactMessage","com.gecom.ContactTest.CreateContactMessage","testUserCanSubmitContactMessage","TC-CONT-001: Verify user can submit contact message",""
"passed","Tue Dec 09 18:49:41 UTC 2025","Tue Dec 09 18:49:41 UTC 2025","86","Regression Testing","Regression Testing","com.gecom.ProductsTest.GetProducts","com.gecom.ProductsTest.GetProducts","testFilterProductsByCategory","TC-PROD-003: Verify filter products by CATEGORY",""
"passed","Tue Dec 09 18:49:37 UTC 2025","Tue Dec 09 18:49:37 UTC 2025","72","Regression Testing","Regression Testing","com.gecom.AuthenticationTests.RefreshToken","com.gecom.AuthenticationTests.RefreshToken","testRefreshTokenMissing","TC-AUTH-010: Verify refresh fails without refresh token",""
"passed","Tue Dec 09 18:49:48 UTC 2025","Tue Dec 09 18:49:49 UTC 2025","46","Regression Testing","Regression Testing","com.gecom.ReviewsTest.CreateReviews","com.gecom.ReviewsTest.CreateReviews","testCreateReviewFailsWithInvalidRating","TC-REV-004: Verify create review fails with invalid rating",""
